name,category_list,funding_total_usd,status,country_code,state_code,city,funding_rounds,Investors,Number_of_Investors,Acquirer,Acquirer_Category,Acquirer_Country,Acquirer_State,Acquirer_City,Acquired_Price,Acquired Currency,county,founded_at,Coordinates,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Newfield Design,Manufacturing,662000,closed,USA,ME,West Newfield,1,Boston Harbor Angels:662000|Maine Angels:662000|Maine Venture Fund:662000,3,-,-,-,-,-,0,-,York,2008,34.160592:-118.139593,1,US,1567267857,38,43.64,-70.92,77,14.99
PlaySquare,Manufacturing,660000,operating,USA,NY,New York,1,Curious Pictures:660000,1,-,-,-,-,-,0,-,New York,2011,26.141305:-80.143896,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Blue Bridge Technologies,Technology,658543,operating,USA,MI,Ann Arbor,2,Imprimatur Capital:658543.0,1,-,-,-,-,-,0,-,Washtenaw,2007,37.769857:-122.22564,75,US,1567267378,46,42.27,-83.73,70,11.41
ZipFit Denim,Finance,657000,operating,USA,IL,Chicago,2,M25 Group:300000,1,-,-,-,-,-,0,-,Cook,2012,37.399782:-122.142776,40,US,1567267448,52,41.88,-87.62,72,14.99
Fobbler,Software,655000,operating,USA,CA,Los Angeles,1,Harvey de Krafft:655000|R. E. Welch:655000|T. B. Zurn:655000,3,-,-,-,-,-,0,-,Los Angeles,2012,37.515274:-122.213672,1,US,1567267506,69,34.05,-118.24,77,3.58
LetsCram,Software,655000,operating,USA,CA,Santa Barbara,2,Sirigen:185000|Michael Lewis:185000|Patrick Dietzen:185000,3,-,-,-,-,-,0,-,Santa Barbara,2007,42.388921:-71.242268,40,US,1567267786,93,34.42,-119.7,75.99,0.87
IndiaCollegeSearch,Education,652594,operating,USA,AR,Gurdon,2,Anupam Mittal:332594|Nitin Jain:332594|Varun Khurana:332594|Vikram Upadhyaya:332594,4,-,-,-,-,-,0,-,Clark,2010,37.399364:-122.079517,1,US,1567267740,52,33.92,-93.15,89.01,3.36
Localmind,Software,650206,closed,USA,CA,San Francisco,2,Granite Ventures:600000|iNovia Capital:600000|Real Ventures:600000|Year One Labs:50206|Ash Jhaveri:600000|Ian Sobieski:600000|Peter Bordes:600000|Ty Danco:600000|Zach Aarons:600000,9,-,-,-,-,-,0,-,San Francisco,2010,45.432511:-84.988871,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Quote Roller,Business,650000,operating,USA,CA,South San Francisco,1,AltaIR Capital:650000|Kima Ventures:650000|Eric Dunn:650000|Fabrice Grinda:650000|Ihar Mahaniok:650000|Oleg Tscheltzoff:650000,6,-,-,-,-,-,0,-,San Mateo,2011,40.664274:-73.9385,20,US,1567267834,77,37.65,-122.41,68,3.36
Rivendell Education Company,Education,650000,operating,USA,MN,Bloomington,1,Bob Ginn:650000|Bobby Norment:650000|Hunt Norment:650000|JIm Manthei:650000,4,-,-,-,-,-,0,-,Hennepin,2010,40.664274:-73.9385,90,US,1567267562,64,40.47,-88.99,70,11.41
Ranku (ran-koo),Education,650000,operating,USA,WA,Seattle,2,Archangel:650000|Lerer Hippeau Ventures:650000|Microsoft Ventures:650000|Deborah Quazzo:650000|Mark Cuban:650000,5,-,-,-,-,-,0,-,King,2013,-1,1,US,1567267556,77,47.6,-122.33,66.99,5.82
walkby,Finance,650000,closed,USA,IL,Chicago,2,Lightbank:650000,1,-,-,-,-,-,0,-,Cook,2012,40.009376:-75.133346,40,US,1567267448,52,41.88,-87.62,72,14.99
Powderhook,Finance,650000,operating,USA,NE,Lincoln,1,Nebraska Angel Network:650000,1,-,-,-,-,-,0,-,Lancaster,2013,34.019394:-118.410825,40,US,1567267761,82,40.8,-96.67,66.99,4.7
KWAMBIO,Finance,650000,operating,USA,NY,New York,1,Techstars:650000,1,-,-,-,-,-,0,-,New York,2014,41.823056:-71.418779,1,US,1567267785,47,40.73,-73.99,80.01,7.31
BabyList,Finance,650000,operating,USA,CA,San Francisco,2,500 Startups:650000|AltaIR Capital:650000|Okapi Venture Capital:650000|Chris Messina:650000|Mike Greenfield:650000,5,-,-,-,-,-,0,-,San Francisco,2011,33.501923:-117.124562,20,US,1567267822,77,37.78,-122.42,69.01,3.36
SixDoors,Finance,650000,operating,USA,CA,San Francisco,1,Kima Ventures:650000|SVG Syndicate:650000|Ilan Abehassera:650000|James Etzkorn:650000|Jean David Blanc:650000|Olivier Cahane:650000,6,-,-,-,-,-,0,-,San Francisco,2013,37.425965:-122.167218,20,US,1567267822,77,37.78,-122.42,69.01,3.36
BioBeats,Health,650000,operating,USA,CA,Berkeley,1,Cantora:650000|Eniac Ventures:650000|K5 Ventures:650000|ZhenFund:650000|Damon Wayans:650000|Kevin Colleran:650000|Scooter Braun:650000|Will Smith:650000,8,-,-,-,-,-,0,-,Alameda,2012,45.022045:-93.462576,20,US,1567267459,77,37.87,-122.27,68,3.36
Adzerk,Marketing,650000,operating,USA,NC,Durham,1,Great Oaks Venture Capital:650000|Brian Handly:650000|Nat Turner:650000|Neil Patel:650000|Bob Senoff:650000|Zach Weinberg:650000,6,-,-,-,-,-,0,-,Durham,2009,40.8238:-73.974237,1,US,1567267715,48,36,-78.9,89.01,3.36
TextualAds,Marketing,650000,operating,USA,CA,San Francisco,1,Chris Redlitz:650000|Dave McClure:650000|Erik Moore:650000|Marcus Segal:650000|Peter Boboff:650000|Shawn Simpson:650000,6,-,-,-,-,-,0,-,San Francisco,2010,39.304969:-76.447076,20,US,1567267822,77,37.78,-122.42,69.01,3.36
SquareHub,Mobile,650000,operating,USA,WA,Kirkland,1,Brian Valentine:650000|Cole Brodman:650000|Doug Doan:650000|Ed Yim:650000|Felix Anthony:650000|Geoff Entress:650000|Ian Freed:650000|Jeff Wilke:650000|Mark Bretl:650000|Matt Hulett:650000|Mike Galgon:650000|Mike George:650000|Prakash Bulusu:650000|Rick Dalzell:650000|Sujal Patel:650000|Vinayak Hegde:650000,16,-,-,-,-,-,0,-,King,2012,41.823056:-71.418779,1,US,1567267756,68,43.08,-75.38,71.01,11.41
WappZapp,Mobile,650000,operating,USA,TX,Nederland,1,SanomaVentures:650000,1,-,-,-,-,-,0,-,Jefferson,2011,41.837551:-87.681844,1,US,1567267782,75,29.97,-93.99,89.6,3.96
Awear,Mobile,650000,operating,USA,CA,San Francisco,2,9+ Program:550000|Streamlined Ventures:100000,2,-,-,-,-,-,0,-,San Francisco,2013,34.037195:-117.855606,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Generous Deals,Services,650000,closed,USA,IL,Chicago,3,New Control:200000,1,-,-,-,-,-,0,-,Cook,2010,42.331876:-71.208402,40,US,1567267448,52,41.88,-87.62,72,14.99
Azoti Inc.,Services,650000,operating,USA,OH,Columbus,1,NCT Ventures:650000,1,-,-,-,-,-,0,-,Franklin,2012,37.385784:-122.026323,75,US,1567267420,62,32.46,-84.99,88,6.93
SynchTank,Software,650000,operating,USA,NY,Brooklyn,1,Brad Kotansky:650000,1,-,-,-,-,-,0,-,Kings,2008,39.761849:-104.880625,75,US,1567267517,60,41.44,-81.74,72,10.29
Boutique Window,Software,650000,operating,USA,NE,Lincoln,1,Nebraska Global:650000|Nelnet:650000,2,-,-,-,-,-,0,-,Lancaster,2012,37.727239:-123.032229,40,US,1567267761,82,40.8,-96.67,66.99,4.7
Thalchemy,Software,650000,operating,USA,WI,Madison,1,three angel investors:650000|Venture Investors:650000|Wingspan Ventures:650000,3,-,-,-,-,-,0,-,Dane,2012,37.727239:-123.032229,1,US,1567267733,52,43.07,-89.38,70,12.75
SIFTSORT.COM,Software,650000,operating,USA,NY,New York,3,Andrew Melnick:150000|Darren Conte:250000|Robert Hanisee:250000|Siva Misra:250000,4,-,-,-,-,-,0,-,New York,2008,37.727239:-123.032229,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Textingly,Software,650000,closed,USA,NY,New York,1,Inspiration Ventures:650000|Dave McClure:650000|Gary Vaynerchuk:650000,3,-,-,-,-,-,0,-,New York,2010,40.664274:-73.9385,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Zuznow,Software,650000,operating,USA,NY,New York,1,Incentive Incubator:650000,1,-,-,-,-,-,0,-,New York,2013,37.296867:-121.819306,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Queralt,Software,650000,operating,USA,CT,North Haven,2,Connecticut Innovations:650000.0,1,-,-,-,-,-,0,-,New Haven,2011,37.727239:-123.032229,1,US,1567267788,38,41.39,-72.86,79,10.29
Lilt Inc.,Software,650000,operating,USA,CA,Palo Alto,1,XSeed Capital:650000,1,-,-,-,-,-,0,-,Santa Clara,2015,37.515274:-122.213672,20,US,1567267506,77,37.44,-122.16,71.01,3.36
CuisineLinks,Software,650000,operating,USA,NJ,Princeton,1,Deepak Kumar:650000,1,-,-,-,-,-,0,-,Mercer,2011,37.727239:-123.032229,1,US,1567267808,78,38.36,-87.57,79,5.82
Knoda,Software,650000,operating,USA,KS,Sabetha,3,Allen Angel Capital Education Program (AACE):400000,1,-,-,-,-,-,0,-,Nemaha,2013,40.664274:-73.9385,40,US,1567267819,77,39.9,-95.8,68,4.7
Big Data Perspective,Software,650000,operating,USA,CA,San Francisco,1,Salvatore Sferlazza:650000,1,-,-,-,-,-,0,-,San Francisco,2014,37.727239:-123.032229,20,US,1567267822,77,37.78,-122.42,69.01,3.36
EZ-Apps,Software,650000,operating,USA,CA,Santa Barbara,1,Pasadena Angels:650000|Tech Coast Angels:650000,2,-,-,-,-,-,0,-,Santa Barbara,2004,39.201146:-76.85905,40,US,1567267786,93,34.42,-119.7,75.99,0.87
APImetrics,Software,650000,operating,USA,WA,Seattle,2,Bain Capital Ventures:500000,1,-,-,-,-,-,0,-,King,2014,37.399782:-122.142776,1,US,1567267556,77,47.6,-122.33,66.99,5.82
Cartogram,Marketing,646000,operating,USA,WA,Kirkland,3,Alliance of Angels:326000|Gary Rubens:326000|Krishnan Gopalan:326000|Paolo Alimonti:326000|Param Desai:326000,5,-,-,-,-,-,0,-,King,2013,34.070648:-84.275907,1,US,1567267756,68,43.08,-75.38,71.01,11.41
Miret Surgical,Health,645000,operating,USA,IL,Elmhurst,1,Wavepoint Ventures:645000,1,-,-,-,-,-,0,-,Dupage,2010,40.027443:-105.25174,1,US,1567267720,45,41.38,-75.54,73.4,6.93
Dorsata,Software,645000,operating,USA,DC,Washington,1,1776 Ventures:645000|Dartmouth-Hitchcock Medical Center:645000,2,-,-,-,-,-,0,-,District Of Columbia,2012,37.727239:-123.032229,1,US,1567267639,45,38.9,-77.04,84.99,6.93
Synata,Software,644000,operating,USA,CA,San Francisco,5,Alchemist Accelerator:28000|Carthona Capital:616000,2,-,-,-,-,-,0,-,San Francisco,2012,37.727239:-123.032229,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Authorea,Services,643000,operating,USA,NY,New York,2,Digital Science:33000|ff Venture Capital:610000|New York Angels:610000|New York Venture Partners:610000,4,-,-,-,-,-,0,-,New York,2012,37.515274:-122.213672,1,US,1567267785,47,40.73,-73.99,80.01,7.31
FORVM,Software,642000,operating,USA,CA,San Francisco,2,"AVentures USA, Inc.:512000|Fellner Vermoegensverwaltungs GmbH:512000",2,-,-,-,-,-,0,-,San Francisco,2012,38.886765:-77.445004,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Authorly,Education,640000,operating,USA,CA,West Hollywood,3,Curious Minds:320000|Startup Minds:320000.0,2,-,-,-,-,-,0,-,Los Angeles,2012,33.282874:-111.854943,1,US,1567267763,69,34.09,-118.36,77,3.58
Kewl Innovations,Health,640000,operating,USA,TX,Richardson,2,Houston Angel Network:55000,1,-,-,-,-,-,0,-,Dallas,2008,35.925942:-79.038271,75,US,1567267648,83,32.95,-96.73,79,5.82
BriteHub,Marketing,640000,operating,USA,CA,Oakland,1,Deming Center Venture Fund:640000|Start Garden:640000|Techstars:640000|Charles Pettis:640000|David Calone:640000|Lisa Gansky:640000|Maxwell Lipnick:640000|Nancy Philippart:640000|Richard Chen:640000|Sara Sager:640000|Walter A. Winshall:640000,11,-,-,-,-,-,0,-,Alameda,2013,37.232976:-121.951066,20,US,1567267570,77,37.8,-122.27,69.01,3.36
Trove,Marketing,640000,operating,USA,CA,San Francisco,1,Resolute Ventures:640000|Uprise Ventures:640000|Resolute.vc:1280000.0,3,-,-,-,-,-,0,-,San Francisco,2014,37.727239:-123.032229,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Bookigee,Software,637500,operating,USA,FL,Miami,2,EA Media Syndicate I LLC:450000|Glen Surnamer:450000|Jeff Schweiger:450000,3,-,-,-,-,-,0,-,Miami-dade,2010,40.664274:-73.9385,40,US,1567267676,66,25.77,-80.19,91,16.11
Order Mapper,Mobile,630000,operating,USA,NV,Las Vegas,3,500 Startups:10000|VegasTechFund:550000|Sean Jazayeri:70000,3,-,-,-,-,-,0,-,Clark,2009,-1,1,US,1567267712,13,36.17,-115.15,91,0.94
Locent,Software,630000,operating,USA,CA,Santa Monica,1,Chaac Ventures:630000|Y Combinator:630000,2,-,-,-,-,-,0,-,Los Angeles,2015,40.664274:-73.9385,1,US,1567267826,69,34.02,-118.49,78.01,3.58
Safe Shepherd,Software,629000,operating,USA,CA,San Francisco,2,500 Startups:629000|FundersClub:629000|OCA Ventures:629000|Signatures Capital:629000|Bobby Yazdani:629000,5,-,-,-,-,-,0,-,San Francisco,2011,32.794176:-96.765503,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Gold Lasso,Marketing,625160,operating,USA,MD,Gaithersburg,2,Dingman Center Angels:225160,1,-,-,-,-,-,0,-,Montgomery,2006,37.769857:-122.22564,1,US,1567267662,45,39.14,-77.2,84.99,6.93
VirtualU,Finance,625000,operating,USA,VA,Blacksburg,1,Adam Rossi:625000|Don Howell:625000|Garnett Smith:625000|Kevin Minnick:625000|Paul Murphy:625000|Sonu Singh:625000,6,-,-,-,-,-,0,-,Montgomery,2012,37.727239:-123.032229,1,US,1567267562,57,37.23,-80.41,87.01,3.36
Wunder,Finance,625000,operating,USA,CO,Boulder,1,Cyberport Hong Kong:41250,1,-,-,-,-,-,0,-,Boulder,2013,37.727239:-123.032229,1,US,1567267435,64,40.02,-105.27,75,4.72
gDine,Services,625000,operating,USA,IL,Chicago,1,Lakshmi Capital:625000,1,-,-,-,-,-,0,-,Cook,2010,42.33196:-71.020173,40,US,1567267448,52,41.88,-87.62,72,14.99
SegONE Inc.,Software,625000,operating,USA,CA,Lucerne Valley,2,Frost Data Capital:625000.0,1,-,-,-,-,-,0,-,San Bernardino,2013,42.275641:-83.731333,1,US,1567267766,23,34.44,-116.95,87.01,11.41
Phone2Action,Hardware,624000,operating,USA,DC,Washington,2,Dundee Venture Capital:600000|Think Big Partners:624000.0,2,-,-,-,-,-,0,-,District Of Columbia,2012,37.727239:-123.032229,1,US,1567267639,45,38.9,-77.04,84.99,6.93
Sortlist,Software,622477,operating,USA,NY,New York,1,Lean FUND:622477,1,-,-,-,-,-,0,-,New York,2014,28.599069:-81.347821,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Arithmatica,Software,622000,closed,USA,CA,Redwood City,1,Quester Capital:622000|SPARK VCT 3:622000,2,-,-,-,-,-,0,-,San Mateo,1998,40.664274:-73.9385,20,US,1567267812,77,37.49,-122.23,71.01,3.36
MapSit Messenger,Software,621641,operating,USA,CA,Menlo Park,3,Student Upstarts:52273|Alexander Abramovich:52273|Edward Ng:69368|Nick Wheeler:52273|Sung Park:121641.0,5,-,-,-,-,-,0,-,San Mateo,2014,37.727239:-123.032229,20,US,1567267772,77,37.45,-122.18,71.01,3.36
Story2,Education,620000,operating,USA,NY,New York,2,Collaborative Seed & Growth Partners:500000|Edovate Capital:500000|Kaplan EdTech Accelerator:120000|Techstars:120000|TWJ Capital:500000|Carol Barash:500000,6,-,-,-,-,-,0,-,New York,2013,-1,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Public Insight Corporation,Software,620000,operating,USA,OH,Hudson,2,North Coast Angel Fund:520000,1,-,-,-,-,-,0,-,Summit,2012,38.98728:-77.118598,1,US,1567267748,43,42.25,-73.79,75,16.11
RecycleMatch,Technology,620000,operating,USA,TX,Houston,2,Capital Factory:20000,1,-,-,-,-,-,0,-,Harris,2009,42.390566:-71.101324,20,US,1567267722,62,29.76,-95.37,90,3.69
Betaout,Software,618000,operating,USA,NY,New York,2,Corazon Capital:118000|Techstars:118000|YourNest Angel Fund:500000|Amit Ranjan:500000|Anupam Mittal:500000|Ashish Kashyap:500000|Girish Mathrubootham:500000|Kunal Bahl:500000|Pallav Nadhani:500000|Phanindra Sama:500000|Vishay Shekhar Sharma:500000,11,-,-,-,-,-,0,-,New York,2013,37.727239:-123.032229,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Oja.la,Education,615000,operating,USA,CA,Palo Alto,4,Alta Ventures Mexico:500000|Angel Ventures:500000|Escala.vc:500000|Naranya Labs:500000|NXTP Labs:575000.0|Start-Up Chile:540000.0,6,-,-,-,-,-,0,-,Santa Clara,2011,47.620499:-122.350876,20,US,1567267506,77,37.44,-122.16,71.01,3.36
Need,Finance,615000,operating,USA,TX,Dallas,2,Venista Ventures:115000|Andrew Brimecome:115000|Garrett Ross:500000|Greg Abbott:500000|Imran Sheikh:500000|Jason Story:500000|Mark Giambrone:615000.0|Oliver Wimmeroth:115000|Shaun Moore:500000|Ted Hoffman:115000,10,-,-,-,-,-,0,-,Dallas,2013,33.762909:-84.422675,75,US,1567267710,83,32.78,-96.8,80.01,5.82
Revolve Robotics,Hardware,615000,operating,USA,CA,San Francisco,3,Lemnos Labs:55000|Alexander Gerko:310000|Dan Rubinstein:310000|Gary Rubens:310000,4,-,-,-,-,-,0,-,San Francisco,2012,38.765743:-121.303159,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Jamplify,Marketing,615000,operating,USA,NY,New York,2,Jumpstart Foundry:15000|Solidus Company:15000,2,-,-,-,-,-,0,-,New York,2012,36.1718:-86.785002,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Musistic,Entertainment,614302,operating,USA,TN,Memphis,3,malmo ventures:15000|Solidus Company:15000|Start Co.:230000.0,3,-,-,-,-,-,0,-,Shelby,2013,41.837551:-87.681844,100,US,1567267763,57,35.15,-90.05,86,2.64
Dash Hudson,Marketing,611000,operating,USA,NY,New York,2,Innovacorp:456000|Gavin Uhma:456000|Jevon MacDonald:456000|Patrick Hankinson:155000|Paul Gauthier:155000,5,-,-,-,-,-,0,-,New York,2013,37.399782:-122.142776,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Year Up,Education,610000,operating,USA,MA,Boston,6,Peery Foundation:610000.0,1,-,-,-,-,-,0,-,Suffolk,2000,40.033147:-75.515363,2,US,1567267440,46,42.36,-71.06,78.01,9.17
StageBloc,Finance,610000,operating,USA,IL,Chicago,2,Alan Matthew:110000,1,-,-,-,-,-,0,-,Cook,2011,37.436611:-121.891322,40,US,1567267448,52,41.88,-87.62,72,14.99
Let,Mobile,610000,operating,USA,CA,Los Angeles,2,Breega Capital:600000|David Graham:600000,2,-,-,-,-,-,0,-,Los Angeles,2013,28.415886:-81.29875,1,US,1567267506,69,34.05,-118.24,77,3.58
PostRocket,Software,610000,closed,USA,CA,Palo Alto,2,500 Startups:610000|Polaris Partners:610000|Amar Chokhawala:610000|Kevin Henrikson:610000|Maneesh Arora:610000|Mehdi Maghsoodnia:610000|Roham Gharegozlou:610000,7,-,-,-,-,-,0,-,Santa Clara,2012,40.664274:-73.9385,20,US,1567267506,77,37.44,-122.16,71.01,3.36
Liveoak Technologies,Services,605000,operating,USA,TX,Austin,1,Wild Basin Investments:605000,1,-,-,-,-,-,0,-,Travis,2014,37.727239:-123.032229,75,US,1567267502,62,30.27,-97.74,89.01,5.82
Wireless Environment,Software,605000,operating,USA,OH,Chagrin Falls,2,JumpStart Inc.:400000,1,-,-,-,-,-,0,-,Cuyahoga,2006,33.123909:-117.282835,1,US,1567267698,56,41.44,-81.39,72,8.05
Place Pixel,Software,605000,operating,USA,NY,New York,3,Entrepreneurs Roundtable Accelerator:40000,1,-,-,-,-,-,0,-,New York,2014,41.837551:-87.681844,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Health As We Age,Sports,605000,operating,USA,IL,Illinois City,2,Marilyn Crawford:500000,1,-,-,-,-,-,0,-,Rock Island,2013,-1,1,US,1567267750,53,41.4,-90.9,71.6,12.75
Cariloop,Technology,605000,operating,USA,TX,Dallas,3,Green Park & Golf Ventures:400000|Health Wildcatters:400000,2,-,-,-,-,-,0,-,Dallas,2012,38.948449:-77.342215,75,US,1567267710,83,32.78,-96.8,80.01,5.82
Glowing Plant,Technology,604000,operating,USA,CA,San Francisco,2,Y Combinator:120000,1,-,-,-,-,-,0,-,San Francisco,2012,40.664274:-73.9385,20,US,1567267822,77,37.78,-122.42,69.01,3.36
The Good Jobs,Marketing,603000,operating,USA,WI,Milwaukee,5,Angels on the Water:165000|BrightStar Wisconsin Foundation:165000|gener8tor:18000|Milwaukee Economic Development Corporation:170000|Wisconsin Economic Development Corporation (WEDC):70000|Anne Nimke:165000,6,-,-,-,-,-,0,-,Milwaukee,2012,35.970875:-83.946479,20,US,1567267742,40,43.03,-87.92,71.6,14.99
Business Texter,Software,602400,operating,USA,WA,Spokane,1,Frontier Angel Fund:602400,1,-,-,-,-,-,0,-,Spokane,2012,40.664274:-73.9385,1,US,1567267678,68,47.66,-117.42,68,3.36
CourseWeaver,Education,600000,operating,USA,MI,East Lansing,1,Spartan Innovations:600000,1,-,-,-,-,-,0,-,Ingham,2013,40.664274:-73.9385,1,US,1567267716,42,42.74,-84.49,70,9.17
eduClipper,Education,600000,operating,USA,NY,New York,1,WTI International Inc.:600000,1,-,-,-,-,-,0,-,New York,2012,-1,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Yopima,Entertainment,600000,operating,USA,GA,Atlanta,1,"Clifford ""T.I."" Joseph Harris:600000",1,-,-,-,-,-,0,-,Fulton,2012,37.727239:-123.032229,1,US,1567267668,51,33.75,-84.39,86,3.36
Days of Wonder,Entertainment,600000,operating,USA,CA,Los Altos,1,Alain Azan:600000|Bud Colligan:600000|Eric Hautemont:600000|Jean-Louis Gassée:600000,4,-,-,-,-,-,0,-,Santa Clara,2002,37.385784:-122.026323,1,US,1567267764,82,37.38,-122.12,72,2.44
Vicino,Entertainment,600000,closed,USA,CA,Santa Monica,1,Dachshund Labs:600000,1,-,-,-,-,-,0,-,Los Angeles,2012,-1,1,US,1567267826,69,34.02,-118.49,78.01,3.58
TaxJar,Finance,600000,operating,USA,CA,San Diego,1,Dan Rose:600000|Harris Barton:600000|Roy Rubin:600000,3,-,-,-,-,-,0,-,San Diego,2013,29.507701:-95.200635,90,US,1567267821,78,32.72,-117.16,73.99,3.36
Blokify,Hardware,600000,operating,USA,NY,New York,1,3D Systems:600000,1,-,-,-,-,-,0,-,New York,2013,33.668727:-111.823682,1,US,1567267785,47,40.73,-73.99,80.01,7.31
AskNshare,Hardware,600000,operating,USA,AZ,Tucson,2,Bose International Investement Fund:600000.0,1,-,-,-,-,-,0,-,Pima,2009,37.769857:-122.22564,1,US,1567267582,35,32.22,-110.93,93,5.82
Avitus Orthopaedics,Health,600000,operating,USA,CT,Farmington,2,Connecticut Innovations:350000,1,-,-,-,-,-,0,-,Hartford,2011,43.623315:-72.251453,1,US,1567267723,31,36.73,-108.21,81,9.17
SnapMD,Health,600000,operating,USA,CA,Glendale,1,Shea Ventures:600000|Whittier Trust:600000,2,-,-,-,-,-,0,-,Los Angeles,2013,37.399782:-122.142776,1,US,1567267602,69,34.14,-118.25,78.01,3.58
iMedicare,Health,600000,operating,USA,NY,New York,2,Blueprint Health:400000|Valence Ventures:400000,2,-,-,-,-,-,0,-,New York,2012,35.830204:-78.641439,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Stampery,Management,600000,operating,USA,CA,San Francisco,1,Boost VC:600000|Blockchain Capital:600000|Draper Associates:600000|Di-Ann Eisnor:600000,4,-,-,-,-,-,0,-,San Francisco,2015,-1,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Nugg-it,Manufacturing,600000,closed,USA,OH,Cincinnati,1,D2M - Direct 2 Manufacturer:600000,1,-,-,-,-,-,0,-,Hamilton,2011,34.023413:-118.481666,90,US,1567267621,64,39.1,-84.51,77,10.29
"Green Way Laboratories, Inc.",Manufacturing,600000,operating,USA,CA,Long Beach,3,"500 Startups:425000.0|Meadow Design, Inc.:175000|Jon Heinl I:250000|Mark Hawks:250000|Marylou Garcia:250000|Michael Livingston:250000|Rick White:250000",7,-,-,-,-,-,0,-,Los Angeles,2012,40.027443:-105.25174,1,US,1567267660,54,30.35,-89.15,89.01,5.82
Aeroxo,Manufacturing,600000,operating,USA,NY,New York,2,I2BF Global Ventures:500000|Skolkovo Foundation:100000,2,-,-,-,-,-,0,-,New York,2014,34.442765:-116.902055,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Exert Co.,Manufacturing,600000,operating,USA,DE,Wilmington,2,Joyce:600000.0,1,-,-,-,-,-,0,-,New Castle,2011,40.664274:-73.9385,75,US,1567267862,44,39.75,-75.55,82.99,9.17
Tatango,Marketing,600000,operating,USA,WA,Bellingham,2,Bellingham Angel Organization:250000,1,-,-,-,-,-,0,-,Whatcom,2007,41.837551:-87.681844,75,US,1567267680,100,48.75,-122.48,66.99,1.23
AdSparx,Marketing,600000,operating,USA,NY,Great Neck,2,GrowX Venture Management:600000|Indian Angel Network:600000|Mumbai Angels:600000,3,-,-,-,-,-,0,-,Nassau,2012,39.735226:-75.529289,1,US,1567267584,47,40.8,-73.73,80.01,7.31
Paperlit,Marketing,600000,operating,USA,CA,Menlo Park,1,Zernike Meta Ventures:600000,1,-,-,-,-,-,0,-,San Mateo,2009,42.388921:-71.242268,20,US,1567267772,77,37.45,-122.18,71.01,3.36
Videolla,Marketing,600000,operating,USA,CA,Mountain View,2,Vladimir Gurgov:100000,1,-,-,-,-,-,0,-,Santa Clara,2010,-1,1,US,1567267588,82,37.39,-122.08,71.01,2.44
Growbots,Marketing,600000,operating,USA,CA,San Francisco,1,500 Startups:600000|Gil Penchina:600000,2,-,-,-,-,-,0,-,San Francisco,2014,42.390566:-71.101324,20,US,1567267822,77,37.78,-122.42,69.01,3.36
hotdot.tv,Marketing,600000,operating,USA,WA,Seattle,1,Acequia Capital:600000|Brett J. Rome:600000|Brian Zingale:600000|Doug Zingale:600000|Jean Baptiste Toulouse:600000|Mike Conte:600000|Patrick Abadie:600000|Shamez Kanji:600000|Ted Pasquarello:600000,9,-,-,-,-,-,0,-,King,2014,35.980964:-78.905647,1,US,1567267556,77,47.6,-122.33,66.99,5.82
TekTrak,Mobile,600000,closed,USA,CA,Los Angeles,2,BCITL Ventures:600000|Kima Ventures:600000|Venture51:600000|Wasabi Ventures:600000|Barney Pell:600000|Cyan Banister:600000|Scott Banister:600000|Sergey Grishin:600000|Shawn V. Gruver:600000|Yoni Saban:600000,10,-,-,-,-,-,0,-,Los Angeles,2010,37.727239:-123.032229,1,US,1567267506,69,34.05,-118.24,77,3.58
Digital2GO Media Networks,Mobile,600000,closed,USA,CA,Newport Beach,1,"ENOTEC Ventures:600000|Maryland Media Partners, LLC:600000",2,-,-,-,-,-,0,-,Orange,2014,38.878337:-77.100703,90,US,1567267786,78,33.62,-117.93,75,5.82
Mine,Mobile,600000,closed,USA,CA,Palo Alto,1,Harrison Metal:600000,1,-,-,-,-,-,0,-,Santa Clara,2011,37.727239:-123.032229,20,US,1567267506,77,37.44,-122.16,71.01,3.36
Yago,Mobile,600000,operating,USA,CA,San Diego,2,Alex Podgurski:600000.0,1,-,-,-,-,-,0,-,San Diego,2014,38.948449:-77.342215,90,US,1567267821,78,32.72,-117.16,73.99,3.36
